LRLLLRRLRRLRRLRRLLRRLRRLLRRRLLRRLRRLRRLRRLRLRLLLLLRRLRRLLRLRRRLLRRLRLLLLLLLRRLRLRRRLRRLRRRLRRLLLRRLLRRRLLRRRLRRLRLRRRLRRRLRLRLLRRRLRRRLRRLLRRRLRLRRLLRLLRRLLRRLRRRLRRLRLRRLLRRRLRRRLRRRLRLRLRLRRRLLRRRLRLRRLLRRLRRLRRLRLLRRLLRRRLRRRLRRLRRLRLLRRLRLRRLRRRLRRRLRRLRLRRRLRRRLRLLLRRLRLLRRRR

RLP = (BMK, PCM)
JTJ = (TVN, CJQ)
PFR = (MMX, BQC)
JGM = (NDJ, PCV)
LVD = (TCK, PVR)
SVS = (CDL, RNX)
QDF = (XFG, NDX)
TBH = (THM, DBC)
FQK = (TFT, CNF)
THV = (NQD, VNT)
VRL = (HCQ, DPS)
LDM = (CCH, PJB)
GXR = (BRH, XLM)
CKF = (THV, BNQ)
KMH = (TLN, PKX)
SLP = (XSV, VCR)
SXF = (MJC, TJX)
KMJ = (LBC, FKT)
VDX = (MJQ, SGJ)
SHM = (LJT, PBV)
PGX = (KFM, SLD)
VHN = (BBB, SJV)
BFL = (VJG, JJF)
HKX = (HNN, MQK)
SNB = (PFJ, CTB)
GCD = (BKX, DHR)
DQN = (CTP, XDN)
DJP = (GGK, NSF)
KPG = (QCX, PQR)
PGR = (QXN, PGT)
RVG = (QDF, MVK)
BMV = (FFH, FFH)
VCX = (LDH, TQD)
KLC = (DFP, FQD)
JMQ = (JKT, BVH)
KLM = (QJQ, NMB)
TTQ = (GMV, QFC)
XFG = (RCP, DTL)
DDC = (FKG, JGM)
FCD = (SPS, JSS)
LBC = (VDX, NFH)
RXN = (KTP, JMB)
MVH = (NJC, LVJ)
PJB = (RXN, JSB)
PBS = (QGF, LSB)
RCP = (PKL, HSJ)
TBF = (RJP, JHJ)
SFB = (FQH, TMH)
XLC = (BXM, MSF)
TCS = (TGT, GPT)
CPQ = (JXT, FCH)
GDM = (XBM, DDS)
QQQ = (FLS, VCX)
MDT = (TFS, TLV)
PFK = (NPJ, SSR)
KSN = (JXV, DRL)
